,0,1,2,3,4,5,6,7
0,23:47,5/11/11,Bighorn (Municipal district) (Canada),AB,Circle,5 min,Bright oval shaped light.,5/12/11
1,22:00,5/11/11,Harrington,WA,Unknown,throughout evening,"UFO over Harrington, WA.",5/12/11
2,22:00,5/11/11,Manteno,IL,Circle,10m,"Dancing Lights in the NE sky, 3 bobbed up while 3 bobbed down. stayed in complete line. after 10minutes i could not see them anymore",5/12/11
3,21:40,5/11/11,Columbia,SC,Light,10 minutes,"Yesterday, 11 May 2011, I noticed a white circle in the sky above my neighbor’s trees at the same time I heard a plan engine. Within",5/12/11
4,20:20,5/11/11,Manteno,IL,Cone,10 MIN,"Bright red Orbs, hovered and disepeared during storm",5/12/11
5,13:00,5/11/11,Wilno,MN,Other,7 min,"5 unkown crafts over Wilno, MN",5/12/11
6,10:05,5/11/11,Pottsville,PA,Unknown,3 minutes,fast moving object stopped 6 cars after flying overhead,5/12/11
7,03:35,5/11/11,Red Bluff,CA,Sphere,10 - 15 SECONDS,"Two Orange Orbs/UFO flying by Red Bluff, CA.",5/12/11
8,21:30,5/10/11,Phoenixville,PA,Light,10 min,i was leaving my buddys house walking to my car and i looked to the horizon and saw 4 flickering glowing orbs going in and out of focus,5/12/11
9,17:15,5/10/11,Vernon (Canada),BC,Circle,~45 minutes,"Circular Object over Vernon, BC May10/11",5/12/11
10,00:07,5/10/11,Boise,ID,Unknown,2 minutes,"Stationary flashing lights in SE sky from Boise, Idaho",5/12/11
11,00:00,5/10/11,Palo Alto,CA,Light,3 minutes,"Silent, red and blue lights, hovering, circling then dropping fast.",5/12/11
12,23:11,5/9/11,Massey (Canada),ON,Light,2 nights at same time las,Two Red Lights Over Northern Ontario West of Massey,5/12/11
13,22:46,5/9/11,Radford,VA,Unknown,1minute 30 sec.,Bright bluish green lights that illuminated the NW sky with no apparent source for the light.,5/12/11
14,22:45,5/9/11,Nice,CA,Light,15 minutes,Flashing Light Sighting 5/9/11 in Nice (Lake County) CA,5/12/11
15,21:30,5/9/11,Mitchell,GA,Other,aprox 20 seconds,Balls of light appeared and quickly spilt in half and disappeared,5/12/11
16,20:00,5/9/11,Riddle,OR,Rectangle,10-15 minutes,"Very large craft with five large lights moving slowley over ridge line, with out any sound of engines.",5/12/11
17,09:35,5/9/11,Sacramento,CA,Disk,1-2 minutes,Fast white light in Sacramento sky off of Interstate-5,5/12/11
18,02:00,5/9/11,Palo Cedro,CA,Unknown,6 seconds unsure,"That was when we saw 10-12 lights we have never seen before. All in a line, all red. We only saw it for 6 seconds",5/12/11
19,22:45,5/8/11,Walnut Creek,CA,Changing,3 min approx,"2 bright orange lights flying in formation, switching positions, flew apart, straight up then disappeared in the blink of the eye",5/12/11
20,22:30,5/8/11,Bayfield,CO,Diamond,2 minutes,"Diamond-shaped craft near Bayfield, CO.",5/12/11
21,22:15,5/8/11,New Bedford,MA,Light,5 minutes,12 silent amber moving lights were observed under a cloud cover lower than airplanes fly,5/12/11
22,21:50,5/8/11,West Palm Beach,FL,Light,5 seconds,"ok was outside, noticed the sky looked a bit brighter, then what i thought e=was a star began to move . not fast but unusual because",5/12/11
23,21:23,5/8/11,Barnesville,OH,Unknown,2 Minutes,A flight of 12 aircraft flying silently in four V shaped formations of 3 were sighted on May 8 at 21:23 Hours over Belmont County Ohio.,5/12/11
24,21:00,5/8/11,Ivans,UT,Unknown,5 minutes,"two to three bright blue lights, changing to a triangle of bright white lights",5/12/11
25,20:30,5/8/11,Starkville,MS,Circle,2 minute,"Orange lit ciruclar aircraft cruising at a low altitude speed moving from south to north, with no audible exhaust.",5/12/11
26,12:00,5/8/11,St. Petersburg,FL,Other,90 seconds+,A seeming military aircraft in the air that does not move and is NOT a helicopter.,5/12/11
27,00:30,5/8/11,Bolingbrook,IL,Fireball,1 hour,Red fireballs,5/12/11
28,23:45,5/7/11,Phoenix,AZ,Changing,20 mins,Blue UFO Over ASU West,5/12/11
29,21:45,5/7/11,Phoenix,AZ,Oval,30 seconds,illumnated object traveling at fast rate of speed phoenix az.,5/12/11
